Person ID, health, sick_days_left, age
0,            -1,         4,        1
1,            0,         -166645760,        1
2,            0,         -166645760,        1
3,            0,         -166645760,        1
4,            0,         -166645760,        1
5,            0,         -166645760,        1
6,            0,         -166645760,        1
7,            0,         -166645760,        1
8,            0,         -166645760,        1
9,            0,         -166645760,        1
10,            0,         -166645760,        1
11,            0,         -166645760,        1
12,            -1,         7,        1
13,            0,         -166645760,        1
14,            0,         -166645760,        1
15,            0,         -166645760,        1
16,            0,         -166645760,        1
17,            0,         -166645760,        1
18,            0,         -166645760,        1
19,            0,         -166645760,        1
20,            0,         -166645760,        1
21,            0,         -166645760,        1
22,            0,         -166645760,        1
23,            0,         -166645760,        1
24,            0,         -166645760,        1
25,            0,         -166645760,        1
26,            0,         -166645760,        1
27,            0,         -166645760,        1
28,            0,         -166645760,        1
29,            0,         -166645760,        1
30,            0,         -166645760,        1
31,            0,         -166645760,        1
32,            0,         -166645760,        1
33,            0,         -166645760,        1
34,            0,         -166645760,        1
35,            -1,         7,        1
36,            0,         -166645760,        1
37,            0,         -166645760,        1
38,            0,         -166645760,        1
39,            0,         -166645760,        1
40,            0,         -166645760,        1
41,            0,         -166645760,        1
42,            0,         -166645760,        1
43,            0,         -166645760,        1
44,            0,         -166645760,        1
45,            -1,         7,        1
46,            0,         -166645760,        1
47,            0,         -166645760,        1
48,            0,         -166645760,        1
49,            0,         -166645760,        1
50,            0,         -166645760,        1
51,            0,         -166645760,        1
52,            0,         -166645760,        1
53,            0,         -166645760,        1
54,            0,         -166645760,        1
55,            0,         -166645760,        1
56,            0,         -166645760,        1
57,            0,         -166645760,        1
58,            0,         -166645760,        1
59,            0,         -166645760,        1
60,            0,         -166645760,        1
61,            0,         -166645760,        1
62,            0,         -166645760,        1
63,            0,         -166645760,        1
64,            0,         -166645760,        1
65,            0,         -166645760,        1
66,            0,         -166645760,        1
67,            0,         -166645760,        1
68,            0,         -166645760,        1
69,            0,         -166645760,        1
70,            0,         -166645760,        1
71,            0,         -166645760,        1
72,            0,         -166645760,        1
73,            0,         -166645760,        1
74,            0,         -166645760,        1
75,            0,         -166645760,        1
76,            0,         -166645760,        1
77,            0,         -166645760,        1
78,            0,         -166645760,        1
79,            0,         -166645760,        1
80,            0,         -166645760,        1
81,            0,         -166645760,        1
82,            0,         -166645760,        1
83,            0,         -166645760,        1
84,            0,         -166645760,        1
85,            0,         -166645760,        1
86,            0,         -166645760,        1
87,            0,         -166645760,        1
88,            0,         -166645760,        1
89,            0,         -166645760,        1
90,            0,         -166645760,        1
91,            0,         -166645760,        1
92,            0,         -166645760,        1
93,            0,         -166645760,        1
94,            0,         -166645760,        1
95,            0,         -166645760,        1
96,            0,         -166645760,        1
97,            0,         -166645760,        1
98,            0,         -166645760,        1
99,            0,         -166645760,        1
0,            -1,         3,        2
1,            0,         -166645760,        2
2,            0,         -166645760,        2
3,            0,         -166645760,        2
4,            0,         -166645760,        2
5,            0,         -166645760,        2
6,            0,         -166645760,        2
7,            0,         -166645760,        2
8,            0,         -166645760,        2
9,            0,         -166645760,        2
10,            0,         -166645760,        2
11,            0,         -166645760,        2
12,            -1,         6,        2
13,            0,         -166645760,        2
14,            0,         -166645760,        2
15,            0,         -166645760,        2
16,            0,         -166645760,        2
17,            -1,         7,        2
18,            0,         -166645760,        2
19,            0,         -166645760,        2
20,            0,         -166645760,        2
21,            0,         -166645760,        2
22,            0,         -166645760,        2
23,            0,         -166645760,        2
24,            -1,         7,        2
25,            0,         -166645760,        2
26,            0,         -166645760,        2
27,            0,         -166645760,        2
28,            0,         -166645760,        2
29,            0,         -166645760,        2
30,            0,         -166645760,        2
31,            0,         -166645760,        2
32,            0,         -166645760,        2
33,            0,         -166645760,        2
34,            0,         -166645760,        2
35,            -1,         6,        2
36,            -1,         7,        2
37,            0,         -166645760,        2
38,            0,         -166645760,        2
39,            0,         -166645760,        2
40,            0,         -166645760,        2
41,            0,         -166645760,        2
42,            -1,         7,        2
43,            0,         -166645760,        2
44,            0,         -166645760,        2
45,            -1,         6,        2
46,            0,         -166645760,        2
47,            -1,         7,        2
48,            0,         -166645760,        2
49,            0,         -166645760,        2
50,            0,         -166645760,        2
51,            0,         -166645760,        2
52,            -1,         7,        2
53,            0,         -166645760,        2
54,            0,         -166645760,        2
55,            0,         -166645760,        2
56,            0,         -166645760,        2
57,            0,         -166645760,        2
58,            0,         -166645760,        2
59,            0,         -166645760,        2
60,            0,         -166645760,        2
61,            0,         -166645760,        2
62,            0,         -166645760,        2
63,            0,         -166645760,        2
64,            0,         -166645760,        2
65,            0,         -166645760,        2
66,            0,         -166645760,        2
67,            0,         -166645760,        2
68,            0,         -166645760,        2
69,            0,         -166645760,        2
70,            0,         -166645760,        2
71,            0,         -166645760,        2
72,            0,         -166645760,        2
73,            0,         -166645760,        2
74,            -1,         7,        2
75,            0,         -166645760,        2
76,            0,         -166645760,        2
77,            0,         -166645760,        2
78,            0,         -166645760,        2
79,            0,         -166645760,        2
80,            0,         -166645760,        2
81,            0,         -166645760,        2
82,            0,         -166645760,        2
83,            0,         -166645760,        2
84,            0,         -166645760,        2
85,            0,         -166645760,        2
86,            0,         -166645760,        2
87,            0,         -166645760,        2
88,            0,         -166645760,        2
89,            0,         -166645760,        2
90,            0,         -166645760,        2
91,            0,         -166645760,        2
92,            0,         -166645760,        2
93,            0,         -166645760,        2
94,            0,         -166645760,        2
95,            0,         -166645760,        2
96,            0,         -166645760,        2
97,            0,         -166645760,        2
98,            0,         -166645760,        2
99,            0,         -166645760,        2
0,            -1,         2,        3
1,            0,         -166645760,        3
2,            0,         -166645760,        3
3,            0,         -166645760,        3
4,            0,         -166645760,        3
5,            0,         -166645760,        3
6,            0,         -166645760,        3
7,            0,         -166645760,        3
8,            0,         -166645760,        3
9,            -1,         7,        3
10,            0,         -166645760,        3
11,            0,         -166645760,        3
12,            -1,         5,        3
13,            0,         -166645760,        3
14,            0,         -166645760,        3
15,            0,         -166645760,        3
16,            0,         -166645760,        3
17,            -1,         6,        3
18,            0,         -166645760,        3
19,            0,         -166645760,        3
20,            0,         -166645760,        3
21,            0,         -166645760,        3
22,            0,         -166645760,        3
23,            0,         -166645760,        3
24,            -1,         6,        3
25,            0,         -166645760,        3
26,            0,         -166645760,        3
27,            0,         -166645760,        3
28,            0,         -166645760,        3
29,            0,         -166645760,        3
30,            -1,         7,        3
31,            0,         -166645760,        3
32,            0,         -166645760,        3
33,            0,         -166645760,        3
34,            0,         -166645760,        3
35,            -1,         5,        3
36,            -1,         6,        3
37,            -1,         7,        3
38,            0,         -166645760,        3
39,            0,         -166645760,        3
40,            -1,         7,        3
41,            0,         -166645760,        3
42,            -1,         6,        3
43,            0,         -166645760,        3
44,            0,         -166645760,        3
45,            -1,         5,        3
46,            0,         -166645760,        3
47,            -1,         6,        3
48,            0,         -166645760,        3
49,            0,         -166645760,        3
50,            0,         -166645760,        3
51,            0,         -166645760,        3
52,            -1,         6,        3
53,            0,         -166645760,        3
54,            0,         -166645760,        3
55,            0,         -166645760,        3
56,            0,         -166645760,        3
57,            0,         -166645760,        3
58,            0,         -166645760,        3
59,            0,         -166645760,        3
60,            0,         -166645760,        3
61,            0,         -166645760,        3
62,            0,         -166645760,        3
63,            0,         -166645760,        3
64,            -1,         7,        3
65,            0,         -166645760,        3
66,            0,         -166645760,        3
67,            0,         -166645760,        3
68,            0,         -166645760,        3
69,            0,         -166645760,        3
70,            0,         -166645760,        3
71,            0,         -166645760,        3
72,            0,         -166645760,        3
73,            0,         -166645760,        3
74,            -1,         6,        3
75,            0,         -166645760,        3
76,            0,         -166645760,        3
77,            0,         -166645760,        3
78,            0,         -166645760,        3
79,            0,         -166645760,        3
80,            0,         -166645760,        3
81,            0,         -166645760,        3
82,            0,         -166645760,        3
83,            0,         -166645760,        3
84,            0,         -166645760,        3
85,            0,         -166645760,        3
86,            0,         -166645760,        3
87,            0,         -166645760,        3
88,            0,         -166645760,        3
89,            0,         -166645760,        3
90,            0,         -166645760,        3
91,            0,         -166645760,        3
92,            0,         -166645760,        3
93,            0,         -166645760,        3
94,            0,         -166645760,        3
95,            -1,         7,        3
96,            0,         -166645760,        3
97,            0,         -166645760,        3
98,            0,         -166645760,        3
99,            -1,         7,        3
0,            -1,         1,        4
1,            -1,         7,        4
2,            0,         -166645760,        4
3,            0,         -166645760,        4
4,            0,         -166645760,        4
5,            0,         -166645760,        4
6,            0,         -166645760,        4
7,            0,         -166645760,        4
8,            0,         -166645760,        4
9,            -1,         6,        4
10,            0,         -166645760,        4
11,            0,         -166645760,        4
12,            -1,         4,        4
13,            0,         -166645760,        4
14,            -1,         7,        4
15,            0,         -166645760,        4
16,            -1,         7,        4
17,            -1,         5,        4
18,            0,         -166645760,        4
19,            0,         -166645760,        4
20,            0,         -166645760,        4
21,            -1,         7,        4
22,            0,         -166645760,        4
23,            0,         -166645760,        4
24,            -1,         5,        4
25,            0,         -166645760,        4
26,            -1,         7,        4
27,            0,         -166645760,        4
28,            0,         -166645760,        4
29,            0,         -166645760,        4
30,            -1,         6,        4
31,            -1,         7,        4
32,            0,         -166645760,        4
33,            0,         -166645760,        4
34,            0,         -166645760,        4
35,            -1,         4,        4
36,            -1,         5,        4
37,            -1,         6,        4
38,            0,         -166645760,        4
39,            0,         -166645760,        4
40,            -1,         6,        4
41,            0,         -166645760,        4
42,            -1,         5,        4
43,            -1,         7,        4
44,            0,         -166645760,        4
45,            -1,         4,        4
46,            -1,         7,        4
47,            -1,         5,        4
48,            -1,         7,        4
49,            0,         -166645760,        4
50,            -1,         7,        4
51,            0,         -166645760,        4
52,            -1,         5,        4
53,            0,         -166645760,        4
54,            0,         -166645760,        4
55,            0,         -166645760,        4
56,            0,         -166645760,        4
57,            0,         -166645760,        4
58,            0,         -166645760,        4
59,            0,         -166645760,        4
60,            0,         -166645760,        4
61,            -1,         7,        4
62,            0,         -166645760,        4
63,            0,         -166645760,        4
64,            -1,         6,        4
65,            0,         -166645760,        4
66,            0,         -166645760,        4
67,            -1,         7,        4
68,            -1,         7,        4
69,            0,         -166645760,        4
70,            0,         -166645760,        4
71,            -1,         7,        4
72,            0,         -166645760,        4
