Person ID, health, sick_days_left, age
0,            -1,         4,        1
1,            -1,         5,        1
2,            0,         0,        1
3,            0,         0,        1
4,            0,         0,        1
5,            -1,         5,        1
6,            0,         0,        1
7,            0,         0,        1
8,            0,         0,        1
9,            -1,         5,        1
10,            0,         0,        1
11,            0,         0,        1
12,            0,         0,        1
13,            0,         0,        1
14,            -1,         5,        1
15,            0,         0,        1
16,            0,         0,        1
17,            -1,         5,        1
18,            0,         0,        1
19,            0,         0,        1
0,            -1,         3,        2
1,            -1,         4,        2
2,            0,         0,        2
3,            -1,         5,        2
4,            -1,         5,        2
5,            -1,         4,        2
6,            0,         0,        2
7,            -1,         5,        2
8,            0,         0,        2
9,            -1,         4,        2
10,            0,         0,        2
11,            -1,         5,        2
12,            0,         0,        2
13,            -1,         5,        2
14,            -1,         4,        2
15,            0,         0,        2
16,            -1,         5,        2
17,            -1,         4,        2
18,            -1,         5,        2
19,            -1,         5,        2
0,            -1,         2,        3
1,            -1,         3,        3
2,            -1,         5,        3
3,            -1,         4,        3
4,            -1,         4,        3
5,            -1,         3,        3
6,            -1,         5,        3
7,            -1,         4,        3
8,            0,         0,        3
9,            -1,         3,        3
10,            -1,         5,        3
11,            -1,         4,        3
12,            0,         0,        3
13,            -1,         4,        3
14,            -1,         3,        3
15,            -1,         5,        3
16,            -1,         4,        3
17,            -1,         3,        3
18,            -1,         4,        3
19,            -1,         4,        3
0,            -1,         1,        4
1,            -1,         2,        4
2,            -1,         4,        4
3,            -1,         3,        4
4,            -1,         3,        4
5,            -1,         2,        4
6,            -1,         4,        4
7,            -1,         3,        4
8,            0,         0,        4
9,            -1,         2,        4
10,            -1,         4,        4
11,            -1,         3,        4
12,            -1,         5,        4
13,            -1,         3,        4
14,            -1,         2,        4
15,            -1,         4,        4
16,            -1,         3,        4
17,            -1,         2,        4
18,            -1,         3,        4
19,            -1,         3,        4
0,            -1,         0,        5
1,            -1,         1,        5
2,            -1,         3,        5
3,            -1,         2,        5
4,            -1,         2,        5
5,            -1,         1,        5
6,            -1,         3,        5
7,            -1,         2,        5
8,            -1,         5,        5
9,            -1,         1,        5
10,            -1,         3,        5
11,            -1,         2,        5
12,            -1,         4,        5
13,            -1,         2,        5
14,            -1,         1,        5
15,            -1,         3,        5
16,            -1,         2,        5
17,            -1,         1,        5
18,            -1,         2,        5
19,            -1,         2,        5
0,            1,         0,        6
1,            -1,         0,        6
2,            -1,         2,        6
3,            -1,         1,        6
4,            -1,         1,        6
5,            -1,         0,        6
6,            -1,         2,        6
7,            -1,         1,        6
8,            -1,         4,        6
9,            -1,         0,        6
10,            -1,         2,        6
11,            -1,         1,        6
12,            -1,         3,        6
13,            -1,         1,        6
14,            -1,         0,        6
15,            -1,         2,        6
16,            -1,         1,        6
17,            -1,         0,        6
18,            -1,         1,        6
19,            -1,         1,        6
0,            1,         0,        7
1,            1,         0,        7
2,            -1,         1,        7
3,            -1,         0,        7
4,            -1,         0,        7
5,            1,         0,        7
6,            -1,         1,        7
7,            -1,         0,        7
8,            -1,         3,        7
9,            1,         0,        7
10,            -1,         1,        7
11,            -1,         0,        7
12,            -1,         2,        7
13,            -1,         0,        7
14,            1,         0,        7
15,            -1,         1,        7
16,            -1,         0,        7
17,            1,         0,        7
18,            -1,         0,        7
19,            -1,         0,        7
0,            1,         0,        8
1,            1,         0,        8
2,            -1,         0,        8
3,            1,         0,        8
4,            1,         0,        8
5,            1,         0,        8
6,            -1,         0,        8
7,            1,         0,        8
8,            -1,         2,        8
9,            1,         0,        8
10,            -1,         0,        8
11,            1,         0,        8
12,            -1,         1,        8
13,            1,         0,        8
14,            1,         0,        8
15,            -1,         0,        8
16,            1,         0,        8
17,            1,         0,        8
18,            1,         0,        8
19,            1,         0,        8
0,            1,         0,        9
1,            1,         0,        9
2,            1,         0,        9
3,            1,         0,        9
4,            1,         0,        9
5,            1,         0,        9
6,            1,         0,        9
7,            1,         0,        9
8,            -1,         1,        9
9,            1,         0,        9
10,            1,         0,        9
11,            1,         0,        9
12,            -1,         0,        9
13,            1,         0,        9
14,            1,         0,        9
15,            1,         0,        9
16,            1,         0,        9
17,            1,         0,        9
18,            1,         0,        9
19,            1,         0,        9
0,            1,         0,        10
1,            1,         0,        10
2,            1,         0,        10
3,            1,         0,        10
4,            1,         0,        10
5,            1,         0,        10
6,            1,         0,        10
7,            1,         0,        10
8,            -1,         0,        10
9,            1,         0,        10
10,            1,         0,        10
11,            1,         0,        10
12,            1,         0,        10
13,            1,         0,        10
14,            1,         0,        10
15,            1,         0,        10
16,            1,         0,        10
17,            1,         0,        10
18,            1,         0,        10
19,            1,         0,        10
0,            1,         0,        11
1,            1,         0,        11
2,            1,         0,        11
3,            1,         0,        11
4,            1,         0,        11
5,            1,         0,        11
6,            1,         0,        11
7,            1,         0,        11
8,            1,         0,        11
9,            1,         0,        11
10,            1,         0,        11
11,            1,         0,        11
12,            1,         0,        11
13,            1,         0,        11
14,            1,         0,        11
15,            1,         0,        11
16,            1,         0,        11
17,            1,         0,        11
18,            1,         0,        11
19,            1,         0,        11
